::::::::: 1 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2132005	0.02202106	0.01057887	291.4818	30.18501	331.2486	2.584638	0.01736741	-0.2130464	0.03325379	-0.4421422	0.2172033
-0.2127238	0.01618612	0.0129987	292.9729	26.29828	335.6803	2.777262	0.1219343	0.1378412	0.03382705	-0.4650504	0.2186133
-0.2116038	0.01180863	0.01455808	295.7127	24.01904	338.8409	3.269595	0.3413301	0.0350395	0.05657805	-0.43576	0.1993079
-0.2114642	0.0125289	0.01491308	297.8942	28.12302	334.2571	2.869545	0.2007043	-1.112715	0.05185221	-0.3028242	0.1582695
-0.213595	0.0215826	0.009827495	297.4795	26.46541	335.3132	2.166568	-0.1295809	-0.5224129	-0.01811154	-0.01643703	-0.009391285
-0.2144892	0.01737618	0.007772207	291.3951	17.6635	344.2446	-0.08538372	-0.2822744	1.783554	-0.03304811	-0.1062939	-0.05322031
-0.2143393	0.01902711	0.01140988	295.4664	29.7127	332.357	0.7919714	0.1275705	-0.8140189	-0.02589353	-0.04469646	0.04442328
-0.2131601	0.01409268	0.0134021	295.7036	21.89753	340.127	1.035088	-0.1335623	0.4487745	0.00627135	-0.1125542	0.05428581
-0.2132231	0.01366305	0.01599061	296.5924	25.8139	336.5518	0.9206213	0.1228913	-0.2886242	0.002318231	-0.1011201	0.09672575
-0.2139906	0.01167774	0.01653218	297.9864	21.75879	340.6858	1.436198	-0.02336073	0.2420148	-0.01679249	-0.1150391	0.09059153
-0.2142405	0.01219392	0.01629162	298.1662	21.35815	341.2605	1.205934	0.01677979	0.2580249	-0.01722402	-0.08893184	0.06683998
-0.2140466	0.01288545	0.01615608	297.6368	21.8973	340.7486	0.6447796	0.05283842	0.1711264	-0.01004761	-0.05264635	0.03869541
-0.2141147	0.01373684	0.01481831	296.783	22.34928	340.2838	0.07009246	0.05347414	0.1851683	-0.01045268	-0.02915584	0.009449334
-0.2140571	0.0140326	0.0153966	296.743	22.06851	340.5172	0.03928928	0.00633296	0.1705908	-0.004838172	-0.02012355	0.01357973
-0.2137804	0.01406097	0.01553321	296.931	22.2362	340.3044	0.06980259	-0.004636271	0.05924493	0.001324743	-0.01673815	0.01066052
-0.2138784	0.01456463	0.01499462	296.8615	22.25828	340.2563	0.02521396	-0.01858922	0.04028279	0.00087954	-0.007824532	0.001642424
											
											
::::::::: 2 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2728867	0.01231277	-0.03100324	296.6434	285.7743	345.4491	0.002298682	0.000960822	0.002486241	-0.001123752	0.001315792	-0.001163411
-0.2728961	0.01198912	-0.03079283	296.6348	285.7848	345.4265	-0.00344984	0.000663235	0.001661047	-0.001612928	-0.001686868	0.001329171
-0.2729297	0.01196778	-0.03077722	296.6729	285.7921	345.4305	0.004513195	0.001316338	0.01741126	-0.002271591	-0.002010505	0.001108231
-0.2729343	0.01189387	-0.03073299	296.6949	285.7943	345.4376	0.00466623	0.003472766	0.01977962	-0.003729077	-0.002981848	0.001780081
-0.2730477	0.0118705	-0.03083229	296.7215	285.7788	345.445	-1.32E-05	0.003386588	0.03071812	-0.005343794	-0.003319619	0.001025419
-0.2732666	0.01170743	-0.03083074	296.7476	285.7462	345.5102	-0.005393772	0.009677228	0.03592078	-0.008431547	-0.005442998	0.001380964
-0.2733681	0.01161742	-0.03079534	296.8595	285.704	345.5807	-0.005032043	0.01391553	0.06958494	-0.01052756	-0.006149422	0.001732005
-0.2735791	0.0117054	-0.03075516	296.9367	285.7381	345.54	0.007293609	0.01532414	0.08625948	-0.01180808	-0.004955814	0.002854261
-0.2735917	0.01172757	-0.03065073	296.9585	285.7479	345.5266	0.01368794	0.006979675	0.07327518	-0.009618727	-0.003823322	0.004036559
-0.2735974	0.01171613	-0.03060865	296.9671	285.7661	345.4958	0.01523282	0.001286268	0.04903411	-0.007953709	-0.003183113	0.003621981
-0.2736529	0.0116564	-0.03055561	296.9919	285.7799	345.4686	0.01899541	-0.001603134	0.04853696	-0.006989941	-0.002370709	0.003733329
-0.2736763	0.0115726	-0.03070605	296.9947	285.7478	345.5105	0.01166232	-0.001165908	0.03608633	-0.005709585	-0.001968059	0.0010214
-0.2737388	0.01161468	-0.0307548	296.9948	285.6743	345.5988	-0.007410765	0.001507458	0.02662463	-0.005547165	-0.000791278	-0.000822754
-0.2737801	0.0116632	-0.03085124	296.9632	285.6581	345.649	-0.01983461	0.01486485	0.01467864	-0.005013647	0.001637011	-0.002677781
-0.273654	0.01184392	-0.031106	296.899	285.6864	345.6733	-0.02155517	0.03049278	-0.0115186	-0.003005064	0.00604644	-0.005882842
-0.2735606	0.01223207	-0.03120875	296.9594	285.9065	345.5042	0.02072565	0.05075177	0.000182417	-0.000303118	0.01340003	-0.007101543
-0.2733058	0.01286638	-0.03121865	296.9875	286.5129	344.9558	0.1146324	0.0890652	-0.008272199	0.006318287	0.028309	-0.006393427
-0.2730875	0.01372755	-0.0313884	296.9774	287.385	344.1394	0.232649	0.1238018	-0.05490737	0.01143547	0.04235135	-0.008369754
